feature,fast_laps_mean,slow_laps_mean,difference,pct_difference
nmot,6098.67220354481,4758.68688248036,1339.9853210644505,28.15872012923895
speed,129.409374967232,90.18346179940279,39.225913167829205,43.49568356011918
aps,68.24483334498474,33.33777370517503,34.90705963980971,104.70723074825803
gear,2.8702833855612697,2.247169845410938,0.6231135401503316,27.72881370862216
total_g_force,0.2178454489725319,0.12123471417603161,0.0966107347965003,79.68900281830372
abs_steering,6.704437548648412,5.635697861147563,1.0687396875008481,18.963750609640154
total_brake_pressure,13.237079430215523,6.661351596360041,6.575727833855482,98.7146187786973
throttle_efficiency,0.011051600642404126,0.006769741057573018,0.004281859584831109,63.24997586194493
speed_per_gear,33.375284350486886,27.95443175174435,5.420852598742535,19.39174670722568
power_index,423.3249491990736,168.1515717651939,255.17337743387972,151.75200252674574
